,gender,locality,ethnicity,religion,q1,q2b,q4,q2,q3,q8,q9,resp_id
0,Male,CBD (central business district),White European,Church of England/Anglican/Episcopal,Aerobics,,Yes,Sky diving;Base jumping;Mountain biking;Snowboarding;,Basketball;Football;Hockey stick;,,Not applicable - I won't ever go to a sporting goods store;,0
1,Female,Suburban,White European,,Aerobics,Irregularly,No,Mountain biking;Parachuting;,Basketball;Football;Hockey stick;,,To buy something for myself;To check prices;,1
2,Male,Urban,White European,Roman Catholic,Football (soccer),Irregularly,No,,Basketball;Football;Hockey stick;,,Don't know;,2
3,Male,Urban,White European,,Yoga,Irregularly,Yes,,Basketball;Hockey stick;,,To buy something for myself;To check prices;,3
4,Male,CBD (central business district),White European,,Running/jogging,Regularly,Yes,,Football;,,Not applicable - I won't ever go to a sporting goods store;,4
5,Male,,White European,None,Pilates,Regularly,No,,Hockey stick;Parachute;,,Don't know;,5
6,Male,CBD (central business district),White European,,Pilates,,Yes,,Basketball;Football;Hockey stick;,,To buy something for myself;To check prices;,6
7,Male,Urban,Other ethnic group,None,Aerobics,Regularly,No,Sky diving;Base jumping;Mountain biking;Snowboarding;,Parachute;,Dinner;,Not applicable - I won't ever go to a sporting goods store;,7
8,Female,Urban,White European,Church of England/Anglican/Episcopal,Yoga,Regularly,No,,Basketball;Hockey stick;,,Not applicable - I won't ever go to a sporting goods store;,8
9,Male,Urban,White European,None,Lifting weights,,No,,Basketball;Football;Hockey stick;,,Not applicable - I won't ever go to a sporting goods store;,9
10,Male,Suburban,White European,Church of England/Anglican/Episcopal,Lifting weights,Irregularly,No,,Basketball;Football;Hockey stick;Parachute;,,Not applicable - I won't ever go to a sporting goods store;,10
11,Female,Suburban,White European,None,Lifting weights,Irregularly,No,,Football;Hockey stick;,Dinner;,Not applicable - I won't ever go to a sporting goods store;,11
12,Female,CBD (central business district),White European,Church of England/Anglican/Episcopal,Aerobics,Never,No,Sky diving;Base jumping;,Hockey stick;,,To buy something for myself;To check prices;,12
13,Male,Urban,White European,,Aerobics,Irregularly,No,Mountain biking;,Basketball;Football;Hockey stick;,Breakfast;Mid-afternoon snacking;,To buy something for myself;To buy something for somebody else;To check prices;,13
14,Female,Urban,White European,None,Aerobics,Irregularly,No,Mountain biking;,Basketball;,Mid-afternoon snacking;Dinner;,To buy something for myself;To check prices;,14
15,Female,Suburban,White European,None,Lifting weights,,Yes,,Basketball;Hockey stick;,,To buy something for myself;,15
16,Female,CBD (central business district),White European,Roman Catholic,Aerobics,Irregularly,No,Mountain biking;Kite boarding;,Football;Hockey stick;,,To buy something for myself;To ask the staff for sporting advice;To check prices;,16
17,Female,CBD (central business district),White European,,Football (soccer),Irregularly,No,,Basketball;Hockey stick;,,To buy something for myself;To buy something for somebody else;,17
18,Female,Suburban,White European,Roman Catholic,Pilates,Regularly,No,,Hockey stick;,,To buy something for somebody else;,18
19,Male,Suburban,White European,,Lifting weights,Irregularly,No,,Hockey stick;Parachute;,,To buy something for myself;,19
20,Female,Remote,White European,Methodist,Aerobics,Irregularly,No,Mountain biking;,Basketball;Hockey stick;,,Not applicable - I won't ever go to a sporting goods store;,20
21,Female,Suburban,Any other white background,Roman Catholic,Lifting weights,Irregularly,No,,Hockey stick;,,Not applicable - I won't ever go to a sporting goods store;,21
22,Male,CBD (central business district),White European,,Aerobics,Irregularly,Yes,Sky diving;Base jumping;Mountain biking;Kite boarding;Snowboarding;,Basketball;Football;Hockey stick;Parachute;,,To buy something for myself;To check prices;,22
23,Female,CBD (central business district),White European,,Running/jogging,Irregularly,Yes,,Football;Hockey stick;,Breakfast;Mid-afternoon snacking;,Not applicable - I won't ever go to a sporting goods store;,23
24,Male,Urban,White European,None,Lifting weights,,Yes,,Basketball;Football;Hockey stick;,Breakfast;Lunch;Mid-afternoon snacking;,Not applicable - I won't ever go to a sporting goods store;,24
25,Male,CBD (central business district),White European,Church of England/Anglican/Episcopal,Aerobics,Regularly,No,Sky diving;Base jumping;Mountain biking;,Basketball;Football;Hockey stick;,Breakfast;Mid-afternoon snacking;,To buy something for myself;,25
26,Male,Urban,White European,None,Swimming,Irregularly,No,,Hockey stick;,,Don't know;,26
27,Male,CBD (central business district),White European,Church of England/Anglican/Episcopal,Lifting weights,Irregularly,Yes,,Basketball;Football;Hockey stick;Climbing gear;,Lunch;Dinner;,To buy something for somebody else;,27
28,Female,CBD (central business district),White European,Church of England/Anglican/Episcopal,Football (soccer),,Yes,,Basketball;Hockey stick;,,Not applicable - I won't ever go to a sporting goods store;,28
29,Male,CBD (central business district),White European,,Swimming,Irregularly,Yes,,Football;Hockey stick;Bicycle;,None of them;,To buy something for myself;To buy something for somebody else;To check prices;Other;,29
30,Male,Remote,White European,None,Lifting weights,Irregularly,No,,Basketball;Hockey stick;Parachute;,,To buy something for myself;To buy something for somebody else;,30
31,Female,CBD (central business district),White European,,Other,,No,,Basketball;Football;Hockey stick;,None of them;,To buy something for myself;To buy something for somebody else;To check prices;,31
32,Male,Urban,White European,None,Lifting weights,,No,,Basketball;Football;Hockey stick;,Lunch;,Not applicable - I won't ever go to a sporting goods store;,32
33,Female,CBD (central business district),White European,Roman Catholic,Lifting weights,Irregularly,No,,Basketball;Parachute;,,Not applicable - I won't ever go to a sporting goods store;,33
34,Female,Suburban,White European,Methodist,Lifting weights,Irregularly,Yes,,Football;Hockey stick;,,To check prices;,34
35,Female,Remote,White European,Other,Lifting weights,,Yes,,Basketball;Hockey stick;Parachute;,,Not applicable - I won't ever go to a sporting goods store;,35
36,Male,CBD (central business district),White European,Church of England/Anglican/Episcopal,Aerobics,Irregularly,Yes,Other;,Basketball;Football;Hockey stick;Parachute;,,To buy something for myself;To check prices;,36
37,Female,Suburban,White European,None,Pilates,,No,,Basketball;Football;Hockey stick;,Breakfast;Mid-afternoon snacking;None of them;,Other;,37
38,Female,Suburban,White European,Church of England/Anglican/Episcopal,Lifting weights,Irregularly,No,,Basketball;Football;Hockey stick;Parachute;,,To buy something for somebody else;,38
39,Female,Suburban,White European,Church of England/Anglican/Episcopal,Pilates,Irregularly,Yes,,Basketball;Football;,Breakfast;Lunch;Mid-afternoon snacking;,To buy something for somebody else;,39
40,Male,Urban,White European,None,Aerobics,Irregularly,No,Mountain biking;,Football;Hockey stick;,,Not applicable - I won't ever go to a sporting goods store;,40
41,Female,Suburban,White European,Church of England/Anglican/Episcopal,Aerobics,Irregularly,No,Mountain biking;,Basketball;Hockey stick;,,Not applicable - I won't ever go to a sporting goods store;,41
42,Male,Suburban,White European,,Football (soccer),Irregularly,Yes,,Basketball;Hockey stick;,,To buy something for somebody else;,42
43,Female,CBD (central business district),White European,,Aerobics,Irregularly,No,Sky diving;Base jumping;Mountain biking;Kite boarding;Snowboarding;,Basketball;Football;Hockey stick;Parachute;,Dinner;,Don't know;,43
44,Female,CBD (central business district),White European,,Football (soccer),Irregularly,No,,Hockey stick;Parachute;,,Not applicable - I won't ever go to a sporting goods store;,44
45,Male,CBD (central business district),White European,Church of England/Anglican/Episcopal,Aerobics,Irregularly,No,Other;,Basketball;Football;Hockey stick;Parachute;,Breakfast;Mid-afternoon snacking;,Not applicable - I won't ever go to a sporting goods store;,45
46,Female,Urban,White European,,Swimming,Irregularly,No,,Football;Hockey stick;,,Not applicable - I won't ever go to a sporting goods store;,46
47,Female,CBD (central business district),White European,None,Lifting weights,Irregularly,No,,Football;Hockey stick;,,Not applicable - I won't ever go to a sporting goods store;,47
48,Female,Urban,White European,,Not applicable - I don't exercise,Irregularly,No,,Basketball;Football;Hockey stick;,Breakfast;Lunch;Mid-afternoon snacking;Dinner;,Not applicable - I won't ever go to a sporting goods store;,48
49,Female,Suburban,White European,Church of England/Anglican/Episcopal,Yoga,Irregularly,No,,Basketball;Football;Hockey stick;,,To buy something for myself;,49
50,Female,Urban,White European,Other,Aerobics,,No,Sky diving;Base jumping;Mountain biking;,Basketball;Football;Hockey stick;,,Not applicable - I won't ever go to a sporting goods store;,50
51,Male,Suburban,White European,Roman Catholic,Aerobics,Irregularly,No,Other;,9Parachute;,,Not applicable - I won't ever go to a sporting goods store;,51
52,Male,Remote,White European,Roman Catholic,Aerobics,Irregularly,No,Sky diving;Base jumping;Mountain biking;Kite boarding;Snowboarding;,Basketball;Football;Hockey stick;,,To buy something for myself;To buy something for somebody else;To check prices;,52
53,Female,CBD (central business district),White European,Church of England/Anglican/Episcopal,Aerobics,Irregularly,No,Base jumping;Mountain biking;,Basketball;Football;Hockey stick;,,To buy something for myself;To check prices;,53
54,Male,CBD (central business district),White European,None,Football (soccer),Regularly,Yes,,Basketball;Football;Hockey stick;,,To buy something for myself;To ask the staff for sporting advice;,54
55,Male,Urban,White European,Church of England/Anglican/Episcopal,Football (soccer),Irregularly,Yes,,Basketball;Football;Hockey stick;Parachute;,Breakfast;Dinner;,Don't know;,55
56,Male,Suburban,White European,None,Lifting weights,,No,,Basketball;Hockey stick;,,Don't know;,56
57,Female,Urban,White European,,Aerobics,Irregularly,No,Sky diving;Mountain biking;Kite boarding;Snowboarding;Parachuting;,Basketball;Hockey stick;Parachute;,Mid-afternoon snacking;Dinner;,Not applicable - I won't ever go to a sporting goods store;,57
58,Female,CBD (central business district),White European,Church of England/Anglican/Episcopal,Running/jogging,Irregularly,No,,Hockey stick;,Breakfast;Dinner;,To buy something for myself;To ask the staff for sporting advice;,58
59,Female,CBD (central business district),White European,,Pilates,Never,No,,Basketball;Football;Hockey stick;Parachute;,,To buy something for myself;,59
60,Male,Rural,White European,None,Basketball,Irregularly,Yes,,Basketball;Football;Hockey stick;,,To buy something for myself;To buy something for somebody else;To check prices;,60
61,Male,Suburban,White European,None,Lifting weights,Irregularly,No,,Basketball;Hockey stick;,Breakfast;Lunch;,Not applicable - I won't ever go to a sporting goods store;,61
62,Male,CBD (central business district),White European,Church of England/Anglican/Episcopal,Aerobics,Irregularly,No,Mountain biking;,Hockey stick;,,To buy something for myself;To check prices;,62
63,Male,CBD (central business district),,,Lifting weights,Irregularly,No,,9Parachute;,,Not applicable - I won't ever go to a sporting goods store;,63
64,Male,CBD (central business district),White European,None,Yoga,Irregularly,No,,Basketball;Football;Hockey stick;Climbing gear;,Mid-morning snacking;Dinner;,Don't know;,64
65,Female,Urban,White European,Prefer not to say,Lifting weights,Irregularly,No,,9Parachute;,,Not applicable - I won't ever go to a sporting goods store;,65
66,Female,Remote,White European,Islam/Muslim,Pilates,,Yes,,Basketball;Football;,,Other;,66
67,Female,Rural,White European,,Aerobics,Irregularly,No,Sky diving;Mountain biking;,Basketball;Hockey stick;Parachute;,Dinner;,To buy something for myself;To buy something for somebody else;,67
68,Male,Remote,White European,None,Pilates,Never,Yes,,Hockey stick;,,Not applicable - I won't ever go to a sporting goods store;,68
69,Female,Rural,White European,,Football (soccer),Irregularly,No,,Basketball;Hockey stick;,,To buy something for myself;To buy something for somebody else;,69
70,Male,CBD (central business district),White European,Presbyterian/Church of Scotland,Lifting weights,Irregularly,No,,Hockey stick;Parachute;,,Not applicable - I won't ever go to a sporting goods store;,70
71,Female,CBD (central business district),White European,,Aerobics,Irregularly,No,Base jumping;,Football;Hockey stick;,,Not applicable - I won't ever go to a sporting goods store;,71
72,Female,Rural,White European,Church of England/Anglican/Episcopal,Lifting weights,Irregularly,No,,Hockey stick;,,Don't know;,72
