,search term,tweet_id,sentiment,tweet
0,rishi sunak,1597649920538083328,42.0,I will not give my vote to the Rishi Sunak regime. Will you? No            No           No 👇            👇            👇
1,rishi sunak,1597649898161471488,-80.0,"Rishi Sunak left the till open for fraudsters and criminal gangs, leaving working people to pay the price. Britain is sic…"
2,rishi sunak,1597649896735387648,42.0,I will not give my vote to the Rishi Sunak regime. Will you? No            No           No 👇            👇            👇
3,rishi sunak,1597649890653646848,-32.0,"Quaint how Sunak warns us of  China’s “creeping authoritarianism”  Care to comment on the… Police, Crime &amp; Sentencing Ac…"
4,rishi sunak,1597649889760272385,-49.0,Outgoing Met police assistant commissioner says Braverman's language on immigration 'horrific' - https//t.co/MfIjZvzKy0
5,rishi sunak,1597649878544396288,-32.0,"Quaint how Sunak warns us of  China’s “creeping authoritarianism”  Care to comment on the… Police, Crime &amp; Sentencing Ac…"
6,rishi sunak,1597649869489213440,-30.0,Rishi Sunak has a new £1.3 million statue for the No 10 garden.  The Indian press had the story 2 days ago. Only ONE U…
7,rishi sunak,1597649844935725056,0.0,"How much longer can Rishi Sunak &amp; his Chancellor close their eyes, stick their fingers in their ears &amp; go la la la?"
8,rishi sunak,1597649834902577152,-40.0,"A shocking survey has found Brexit is the biggest headache for British businesses, ranking even higher than Russia’s w…"
9,rishi sunak,1597649830310195200,-62.0,"Amid financial crisis, UK govt spends GBP 1.3 million on sculpture for Rishi Sunak's garden https//t.co/2y6K5XMTa0"
10,rishi sunak,1597649811372507136,-79.0,Rishi Sunak must prove George Osborne wrong - The Telegraph- THE GOVERNMENT can reverse its disastrous Net Zero policies w…
11,rishi sunak,1597649807912620034,0.0,There never was a ‘golden era’ between the UK and China.  All it has ever been is the Tories selling out our country — as…
12,rishi sunak,1597649801591472128,11.0,"Curoius piece. The UK has embraced the EPC. Not clear how to mitigate economic impact of Brexit without  becoming rule takers or asking for something EU won't give. On immigration, well, we get to set the rules for which legal immigrants can come.  https//t.co/45kytw6Hp0"
13,rishi sunak,1597649779567493120,0.0,It almost feels at the moment that Rishi Sunak was installed to undertake a handover to Keir Starmer at the next election.…
14,rishi sunak,1597649773778980864,0.0,It almost feels at the moment that Rishi Sunak was installed to undertake a handover to Keir Starmer at the next election.…
15,rishi sunak,1597649735015620608,34.0,Rishi Sunak said that our golden era of trade with China is now over.  In which case why are we still giving China foreign…
16,rishi sunak,1597649716036399104,0.0,"NEW - British Prime Minister Rishi Sunak declares the ""golden era"" between the UK and China is over. https//t.co/8tCbWQfdIc"
17,rishi sunak,1597649699011690497,-32.0,"Quaint how Sunak warns us of  China’s “creeping authoritarianism”  Care to comment on the… Police, Crime &amp; Sentencing Ac…"
18,rishi sunak,1597649683052392449,0.0,"NEW - British Prime Minister Rishi Sunak declares the ""golden era"" between the UK and China is over. https//t.co/8tCbWQfdIc"
19,rishi sunak,1597649671643869186,-34.0,Jacob Rees-Mogg issues stark warning to Tories over next election https//t.co/RjI8wcUql8
20,rishi sunak,1597649671484497921,0.0,Come on the people of #Chester you can do this!!!! #EnoughlsEnough #chesterbyelection   https//t.co/hMpI0CLepX Chester…
21,rishi sunak,1597649663930167296,0.0,"NEW - British Prime Minister Rishi Sunak declares the ""golden era"" between the UK and China is over. https//t.co/8tCbWQfdIc"
22,rishi sunak,1597649644871352324,74.0,Lincs MP literally paid a second salary by an oil trader slams Rishi Sunak for agreeing to clean energy https//t.co/BRB…
23,rishi sunak,1597649603486453764,0.0,There never was a ‘golden era’ between the UK and China.  All it has ever been is the Tories selling out our country — as…
24,rishi sunak,1597649575854354432,-71.0,"With one look at Boris Johnson’s rigged rules followed by a glance around this Cabinet table, no wonder they’ve refused h…"
25,rishi sunak,1597649520833474561,-30.0,Rishi Sunak has a new £1.3 million statue for the No 10 garden.  The Indian press had the story 2 days ago. Only ONE U…
26,rishi sunak,1597649514260987904,42.0,Rishi Sunak is already battling his party on five fronts is anyone actually surprised?! In the past 6 month he TWICE fai…
27,rishi sunak,1597649494128365568,87.0,This went well didn't it? No support for your tweet. Your constituents expect more from you than these trivial gestures. Show some serious commitment for a change. Where's your support gor Ukrainian refugees whose support from your government is ending? https//t.co/iQrpFbCmRw
28,rishi sunak,1597649491687280640,23.0,"Rees-Mogg said the government should take tougher action and look at expelling diplomats, improving the UK's relationship w…"
29,rishi sunak,1597649475123949570,34.0,Rishi Sunak said that our golden era of trade with China is now over.  In which case why are we still giving China foreign…
30,rishi sunak,1597649471734976512,36.0,Having Rishi Sunak and Jeremy Hunt in power is like the bland leading the bland.
31,rishi sunak,1597649463249891328,-40.0,"A shocking survey has found Brexit is the biggest headache for British businesses, ranking even higher than Russia’s w…"
32,rishi sunak,1597649426868469760,-32.0,"Quaint how Sunak warns us of  China’s “creeping authoritarianism”  Care to comment on the… Police, Crime &amp; Sentencing Ac…"
33,rishi sunak,1597649406551293952,42.0,I will not give my vote to the Rishi Sunak regime. Will you? No            No           No 👇            👇            👇
34,rishi sunak,1597649397134684160,-17.0,"This says the Government Art Collection purchased it, so we did pay for it https//t.co/L6OqxW…"
35,rishi sunak,1597649393469231104,36.0,Having Rishi Sunak and Jeremy Hunt in power is like the bland leading the bland.
36,rishi sunak,1597649371071275009,67.0,The 🇬🇧UK intends to increase support for Ukraine and provide air defense systems in 2023. British Prime Minister Rishi…
37,rishi sunak,1597649312733102081,-40.0,"A shocking survey has found Brexit is the biggest headache for British businesses, ranking even higher than Russia’s w…"
38,rishi sunak,1597649309474123776,-76.0,Brexit Hurts Everybody Conscious Mothers Fathers Grandfathers Grandmothers Even The Little Kids Hate Rishi Sunak Liz T…
39,rishi sunak,1597649306173190146,-10.0,England and Wales fans have spoken of nerves and tested relationships as they geared up for the “Battle of Britain” #FIFAWorldCup c…
40,rishi sunak,1597649278851510273,-79.0,Rishi Sunak must prove George Osborne wrong - The Telegraph- THE GOVERNMENT can reverse its disastrous Net Zero policies w…
41,rishi sunak,1597649268810354690,-83.0,"""The prime minister referred to China as a challenge. That is mistaken. China is a threat.""  Rishi Sunak is wrong on China,…"
