,search term,sentiment,tweet
0,rishi sunak,-46.0,"Awful poll numbers for the Conservative Govt, which has shifted significantly away from the Right under  Hard…"
1,rishi sunak,75.0,"Voters believe Rishi Sunak's party is now mostly interested in serving its own interests, and its donors, rather than t…"
2,rishi sunak,0.0,"Britain's new 800-millionaire PM Rishi Sunak boasted of meeting with police chiefs and telling them ""They have my full…"
3,rishi sunak,-51.0,"Chester by-election is a crushing defeat for Rishi Sunak  This is what the figures show, with Tory vote share at 22%…"
4,rishi sunak,-6.0,Suspect Rishi Sunak will peddle line that they don't suspend because doing so identifies MP &amp; that can identify the victi…
5,rishi sunak,75.0,"Voters believe Rishi Sunak's party is now mostly interested in serving its own interests, and its donors, rather than t…"
6,rishi sunak,87.0,Huge congratulations to  who will be an excellent MP for City of Chester.  The message to Rishi Sunak’s Conser…
7,rishi sunak,91.0,"1818 ↔ British Coin ↔ My Ancestor ↔ GOD ↔ JAI SHREE RAM('NAIK') ↔ 'NAIK'(ONLY DESCENDENTS OF GOD JAI SHREE RAM) ↔↔  TOP-HINDU THAN THE PRIME MINISTER OF UNITED KINGDOM  - Rishi Sunak.   WE,THE - 'NAIK', RULER RACE JUST LIKE THE      https//t.co/XvYkCQIsMd"
8,rishi sunak,-84.0,The British government appears to have broken its own ministerial code by failing to declare any conflicts of interest…
9,rishi sunak,8.0,Keir Starmer offers to lend Rishi Sunak the Labour votes he needs to pass the levelling-up bill with mandatory housing t…
10,rishi sunak,8.0,The buck stops with the PM. But despite the promises of integrity Rishi Sunak has no plan to restore standards after year…
11,rishi sunak,-40.0,They know they’re done and they’re planning their escapes. After all the damage they’ve done.  Sajid Javid becomes thirtee…
12,rishi sunak,0.0,🇹🇷🇬🇧🇷🇺🇺🇦Erdogan called for the resumption of efforts for negotiations between Russia and Ukraine in talks with Rishi Sun…
13,rishi sunak,8.0,The buck stops with the PM. But despite the promises of integrity Rishi Sunak has no plan to restore standards after year…
14,rishi sunak,-40.0,They know they’re done and they’re planning their escapes. After all the damage they’ve done.  Sajid Javid becomes thirtee…
15,rishi sunak,0.0,"Britain's new 800-millionaire PM Rishi Sunak boasted of meeting with police chiefs and telling them ""They have my full…"
16,rishi sunak,-6.0,Suspect Rishi Sunak will peddle line that they don't suspend because doing so identifies MP &amp; that can identify the victi…
17,rishi sunak,0.0,It's just beginning.    https//t.co/NneU3qQn88
18,rishi sunak,-59.0,"When they said Tories were out of touch I kept defending them but I can't anymore and that's their fault, not mine!  I mean…"
19,rishi sunak,75.0,"Voters believe Rishi Sunak's party is now mostly interested in serving its own interests, and its donors, rather than t…"
20,rishi sunak,0.0,I went to Canvey Island to ask about famous millionaire Rishi Sunak  https//t.co/Itxt8JJ5cX
21,rishi sunak,0.0,It's just beginning.    https//t.co/NneU3qQn88
22,rishi sunak,-30.0,"Of course Rishi Sunak has come down on the side of the BLM activist who snared Lady Hussey, and no he hasn't been briefed,…"
23,rishi sunak,0.0,🇹🇷🇬🇧🇷🇺🇺🇦Erdogan called for the resumption of efforts for negotiations between Russia and Ukraine in talks with Rishi Sunak https//t.co/pSwiGsY9ZL
24,rishi sunak,40.0,"Tories no longer seen as the party of Brexit, low tax or free speech https//t.co/PirQlxB9Fc"
25,rishi sunak,0.0,"Britain's new 800-millionaire PM Rishi Sunak boasted of meeting with police chiefs and telling them ""They have my full…"
26,rishi sunak,8.0,The buck stops with the PM. But despite the promises of integrity Rishi Sunak has no plan to restore standards after year…
27,rishi sunak,75.0,"Voters believe Rishi Sunak's party is now mostly interested in serving its own interests, and its donors, rather than t…"
