,edit_history_tweet_ids,id,tweet,sentiment
0,['1599093158247559169'],1599093158247559168,What if you're just an AI model that somebody tricked into thinking it was a human? #ChatGPT,-15.310000000000002
1,['1599092981906038784'],1599092981906038784,"My only issue now is that #ChatGPT doesn't remember all the conversations we've had before, so I have to re-tell it all the rules again and we find ourselves going down similar idea paths we've been down before.",0.0
2,['1599092856081174529'],1599092856081174528,"@naundob @mrjonfinger @OpenAI „Plausible“?

„All swans are white“ was regarded plausible until black swans was discovered.

Current AI can not deliver „truth“ just probabilistic predictions. 

And #chatgpt, should at least mention the most common theories about the Big Bang, they are well documented.",27.32
3,['1599092725470859264'],1599092725470859264,#ChatGPT gonna be like. Hard times are coming b/c we gonna see a lot of us turning weak and be dependent. #AI https://t.co/nkmDMgkVSU,-20.23
4,['1599092710442676224'],1599092710442676224,"I know it's me being stupid, but this conversation cracked me up.  It's like talking to an extremely well educated child. #ChatGPT https://t.co/rUYXptmGfM",62.970000000000006
5,['1599092677513187328'],1599092677513187328,"Can a computer write better lyrics than you? Probably not, but it can do it a thousand times faster. https://t.co/9mzVg9YqJP #chatgpt @OpenAI #chatgpt3 #gpt3 #aimusic #music #lyrics",23.82
6,['1599092677064417280'],1599092677064417280,Improved #chatbots such as #ChatGPT are going to be very useful for many things including the (home) assignments :) We have some hard times ahead... https://t.co/DwTuJgmD7o,83.57
7,['1599092647511363585'],1599092647511363584,@TheRock broke #ChatGPT in the best way possible. https://t.co/SCiLP43tcd,34.0
8,['1599092459220320256'],1599092459220320256,"Introducing #ChatGPT as a menu bar app for macOS, built with #SwiftUI. Check out the code in the attached image and give it a try! https://t.co/OjGlRppL5b",0.0
9,['1599092442716082176'],1599092442716082176,"Yes, #ChatGPT is that good! I was skeptical, but just co-authored some technical docs with it in 15 mins. It’s like cheating for some tasks.",-20.03
10,['1599092275794956288'],1599092275794956288,@FairVoteCanada #ChatGPT offers so many mind blowing opportunities. It can be trained to be your personal assistant.,38.18
11,['1599092193821691906'],1599092193821691904,"Just tried out ChatGPT and I am blown away by its impressive ability to generate articulated human-like responses and content in real-time! #OpenAI #AI 

(and of course this tweet was AI generated on #ChatGPT) https://t.co/7YNA4ed4Qi",70.88
12,['1599092096111181826'],1599092096111181824,"The @OpenAI #ChatGPT #chatbot is one of the most convincing of its kind, but it still has a few rough edges. #AI

https://t.co/xwljB7Fe38",49.33
13,['1599092072971370497'],1599092072971370496,#ChatGPT is scary!,-54.11
